,cpu_requested,cpu_usage,mem_requested,mem_usage,time
1474,6696.6557852,2806.12935679,5021.86777242,2904.36265217,1000652477670
1475,6661.4980289,2812.49869892,4976.75434862,2928.68397518,1001068145633
1476,6694.0580265,2723.98552155,5025.34767402,2921.20195786,1001782663090
1477,6658.7878365,2722.93416837,4988.79562502,2924.96921193,1001860198465
1478,6648.5503445,2764.21456896,4975.07108702,2953.87100753,1001996450728
1479,6655.2536815,2715.32158074,4979.29332502,2895.38327366,1002032283383
1480,6624.6215415,2757.39291447,4955.42778862,2920.09099577,1002183734830
1481,6614.9124555,2735.51333475,4938.44672272,2906.86735309,1002959712537
1482,6638.9400905,2813.96566394,4957.01350412,2940.2614229,1003193249012
1483,6657.3381195,2788.26713581,4947.75645132,2907.98468892,1003702953523
1484,6650.4277435,2837.78952888,4957.80078112,2939.20040176,1003958509951
